#log
1751875070.5734596,1,1751875070.572453,resting
1751875213.1476886,1,1751875213.146689,resting
1751875222.2635043,100,1751875222.261462,resting
1751875272.8943968,0,1751875272.8933802,negative
1751875351.0796714,2,1751875351.0796714,positive
1751875442.2834117,1,1751875442.2823553,neutral
1751875473.0162108,200,1751875473.015206,resting
1751878601.5979276,1,1751878601.5969276,resting
1751878610.6473458,100,1751878610.645197,resting
1751878707.7185354,1,1751878707.7175353,resting
1751878715.695063,100,1751878715.6930332,resting
1751879199.0804899,1,1751879199.0804899,resting
1751879207.9933875,100,1751879207.991366,resting
1751888146.7961004,1,1751888146.7950988,resting
1751888155.5991623,100,1751888155.598165,resting
1751888202.6851192,1,1751888202.6851192,neutral
1751888280.6255772,0,1751888280.6245382,negative
1751888359.1721659,2,1751888359.1709538,positive
1751888397.5392714,200,1751888397.5392714,resting
1751891733.0752728,1,1751891733.0742307,resting
1751891740.3909757,100,1751891740.3894632,resting
1751891772.0663247,2,1751891772.064849,positive
1751891841.8837068,1,1751891841.8837068,neutral
1751892662.1338801,1,1751892662.1326752,resting
1751892674.9010348,100,1751892674.9000258,resting
1751892706.1530287,1,1751892706.1515446,neutral
1751892768.5437615,1,1751892768.5416944,neutral
1751892832.8179615,1,1751892832.8159156,neutral
1751892895.9626677,0,1751892895.9626677,negative
1751892958.765276,2,1751892958.763353,positive
1751893028.3461301,0,1751893028.3450935,negative
1751893093.0170696,1,1751893093.0160694,neutral
1751893156.4253106,2,1751893156.4243455,positive
1751893215.8099265,1,1751893215.8099265,neutral
1751893277.6866152,0,1751893277.6845706,negative
1751893347.7046933,0,1751893347.7046933,negative
1751893409.4156115,0,1751893409.4146018,negative
1751893443.1082387,200,1751893443.1072197,resting
1751893961.6909423,1,1751893961.6909423,resting
1751893972.0171123,100,1751893972.0161107,resting
1751894003.4698827,2,1751894003.4698827,positive
1751894073.0639427,0,1751894073.0625536,negative
1751894845.2003055,1,1751894845.1993055,resting
1751894853.85605,100,1751894853.85605,resting
1751895560.8431175,1,1751895560.8431175,resting
1751895568.477054,100,1751895568.477054,resting
1751895599.9041815,0,1751895599.9041815,negative
1751896104.5360308,1,1751896104.5349052,resting
1751896114.596542,100,1751896114.5942507,resting
1751896297.0982385,1,1751896297.0970192,resting
1751896303.330748,100,1751896303.3297358,resting
1751896320.7194977,0,1751896320.7184803,negative
1751896385.2796595,1,1751896385.2780526,resting
1751896397.970772,100,1751896397.9697745,resting
1751896422.1581435,0,1751896422.1581435,negative
1751896487.3091393,1,1751896487.3080845,resting
1751896493.6672459,100,1751896493.6662068,resting
1751896524.8901215,1,1751896524.8901215,neutral
1751896685.7668903,1,1751896685.7668903,resting
1751896692.005787,100,1751896692.0043173,resting
1751896701.2054896,0,1751896701.2044895,negative
1751896741.0808218,1,1751896741.0808218,neutral
1751896769.4817894,1,1751896769.4807653,resting
1751896775.766584,100,1751896775.7654688,resting
1751896791.9986732,1,1751896791.9976628,neutral
1751896838.9005685,1,1751896838.899564,neutral
1751896886.839556,1,1751896886.8383923,neutral
1751896935.4514291,1,1751896935.4504123,neutral
1751896982.5631938,2,1751896982.562039,positive
1751897026.904147,1,1751897026.9029357,neutral
