
#2025_07_15_20_29_07_fnris 陆晔1（标签打了很多，取后20个）
2025-07-15 21:17:30,499 - 视频名称: sims_Positive_1.mp4, 播放时长: 32.66秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:18:20,014 - 视频名称: Neutral_1.mp4, 播放时长: 33.20秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:19:06,259 - 视频名称: sims_Negative_5.mp4, 播放时长: 30.10秒, 情绪类别: negative, 标签值: 1
2025-07-15 21:19:55,434 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.51秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:20:47,712 - 视频名称: sims_Positive_3.mp4, 播放时长: 35.94秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:21:34,623 - 视频名称: Neutral_4.mp4, 播放时长: 30.64秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:22:20,751 - 视频名称: sims_Negative_3.mp4, 播放时长: 29.86秒, 情绪类别: negative, 标签值: 1
2025-07-15 21:23:11,458 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.47秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:23:59,707 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.62秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:24:47,952 - 视频名称: Neutral_5.mp4, 播放时长: 31.88秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:25:40,892 - 视频名称: sims_Negative_1.mp4, 播放时长: 36.61秒, 情绪类别: negative, 标签值: 1
2025-07-15 21:26:28,538 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.41秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:27:16,273 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.43秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:28:03,789 - 视频名称: Neutral_2.mp4, 播放时长: 31.22秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:28:53,829 - 视频名称: sims_Negative_2.mp4, 播放时长: 33.75秒, 情绪类别: negative, 标签值: 1
#少了个试次
2025-07-15 21:29:10,353 - 视频名称: Neutral_3.mp4, 播放时长: 0.10秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:29:53,626 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.31秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:30:41,316 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.32秒, 情绪类别: neutral, 标签值: 2
2025-07-15 21:31:40,934 - 视频名称: sims_Negative_4.mp4, 播放时长: 43.24秒, 情绪类别: negative, 标签值: 1
2025-07-15 21:32:28,926 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.68秒, 情绪类别: neutral, 标签值: 2

#2025_07_15_21_50_07_fnris 陆晔2(取前15个)
2025-07-15 21:51:19,715 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.22秒, 情绪类别: positive, 标签值: 3
2025-07-15 21:52:07,803 - 视频名称: Neutral_5.mp4, 播放时长: 31.81秒, 情绪类别: neutral, 标签值: 2
